ST	penA	mtrR	porB	ponA	gyrA	parC	23S
879	19.001	139	100	1	7	3	100
880	19.001	163	12	100	1	2	100
881	2.001	1	3	100	1	100	2
882	2.001	9	1	100	100	100	6
883	2.001	9	8	100	100	100	100
884	2.001	9	8	100	1	100	100
885	2.001	16	19	100	1	18	100
886	2.001	164	100	100	1	18	100
887	2.002	10	100	1	100	1	100
888	2.002	10	13	100	7	20	100
889	2.002	1	13	1	7	3	100
890	2.002	1	13	100	7	4	100
891	2.002	18	14	100	1	18	100
892	2.002	18	100	1	1	18	100
893	2.002	18	100	100	100	2	100
894	2.002	18	100	1	7	2	100
895	2.002	19	12	1	7	3	100
896	2.002	19	100	100	1	18	100
897	2.002	40	12	100	1	4	100
898	2.002	40	100	100	1	4	100
899	2.002	54	14	100	1	20	100
900	2.002	140	3	1	7	3	100
901	2.001	16	14	100	1	18	100
902	2.001	24	11	100	100	2	100
903	2.001	25	8	100	100	100	100
904	2.001	25	11	100	100	100	100
905	2.001	161	14	100	100	7	100
906	2.008	10	4	100	1	55	100
907	2.008	19	13	1	2	10	100
908	2.013	9	1	100	100	100	100
909	21.001	1	11	1	7	3	100
910	21.001	1	8	1	7	62	100
911	22.001	25	8	100	100	1	100
912	22.001	50	3	100	22	1	100
913	22.001	150	100	100	100	2	100
914	22.001	25	17	100	100	1	100
915	22.003	54	14	100	100	2	100
916	22.003	54	11	100	100	2	100
917	22.011	15	100	100	100	7	100
918	27.001	1	10	1	1	25	100
919	34.001	16	8	1	7	3	100
920	34.001	1	8	1	7	3	2
921	34.001	1	11	1	7	62	100
922	34.001	1	16	1	1	3	100
923	34.001	165	11	1	1	3	100
924	34.001	69	100	1	1	3	100
925	34.001	1	11	1	100	3	100
926	34.011	1	11	1	1	3	100
927	4.001	1	8	1	1	3	100
928	4.001	36	8	1	100	2	100
929	43.001	1	4	1	7	15	100
930	44.001	16	10	1	7	10	100
931	44.001	16	100	1	1	10	100
932	44.001	16	12	1	1	10	100
933	44.001	16	10	1	1	45	100
934	5.002	1	21	1	1	3	100
935	5.002	1	1	1	1	23	100
936	5.002	1	8	1	1	23	100
937	5.002	1	14	1	1	3	100
938	5.002	1	16	1	1	3	100
939	5.002	2	11	100	1	3	100
940	5.002	10	8	1	1	3	100
941	5.002	10	12	1	1	3	100
942	5.002	10	14	1	1	3	100
943	66.001	25	3	100	100	100	16
944	68.001	25	16	100	100	27	100
945	68.001	25	4	100	100	27	6
946	68.001	25	4	100	100	27	100
947	68.001	50	3	100	100	7	100
948	69.001	1	8	1	7	3	2
949	69.001	54	14	100	7	20	100
950	69.002	125	14	1	7	17	100
951	72.001	1	11	1	1	3	100
952	75.001	1	11	1	1	3	100
953	77.001	16	10	1	1	10	100
954	80.001	9	1	100	100	100	100
955	81.001	3	1	100	100	2	100
956	84.001	142	100	100	100	2	100
957	88.001	19	14	100	7	3	100
958	9.001	1	13	1	1	22	100
959	9.001	25	1	100	100	100	100
960	9.001	1	14	1	1	22	100
961	9.004	58	3	1	100	2	100
962	1.001	171	100	100	100	1	100
963	1.001	175	100	100	100	1	100
964	1.001	171	100	100	100	1	19
965	12.007	9	3	100	100	100	100
966	14.001	10	13	100	7	64	100
967	19.001	25	12	1	7	65	100
968	19.001	166	3	1	7	61	100
969	19.001	166	11	1	7	61	100
970	19.001	167	3	1	7	61	100
971	19.002	38	12	1	7	55	100
972	2.001	166	100	100	100	100	100
973	2.001	170	13	1	100	1	100
974	2.001	170	1	1	100	1	100
975	2.001	172	16	1	1	4	100
976	2.001	177	8	1	14	2	100
977	2.002	169	100	100	100	100	100
978	2.002	173	14	100	100	2	100
979	2.002	174	8	100	1	4	100
980	2.002	176	100	100	1	4	100
981	2.015	88	100	100	100	63	100
982	2.017	1	3	1	100	2	100
983	2.018	9	3	100	100	100	100
984	22.012	168	100	100	100	7	100
985	34.013	1	11	1	1	3	100
986	44.003	16	10	1	1	10	100
987	66.001	25	3	100	100	100	18
988	69.003	10	1	100	100	7	100
989	89.001	19	8	1	100	1	100
990	90.001	25	100	100	100	2	100
991	90.001	18	100	100	100	2	100
992	22.001	178	100	100	100	2	100
993	10.001	51	37	1	2	41	100
994	34.001	1	11	1	1	3	16
995	2.001	24	1	100	1	2	100
996	60.001	19	8	1	7	3	1
997	34.001	118	10	1	1	3	100
998	10.001	19	1	1	1	3	100
999	34.001	118	11	1	1	3	100
1000	2.002	47	14	1	7	22	100
1001	34.001	117	11	1	1	3	100
1002	43.002	1	4	1	7	24	100
1003	2.002	40	13	100	7	1	100
1004	2.019	19	8	100	1	18	100
1005	15.001	5	11	100	100	2	100
1006	2.014	10	13	100	7	20	100
1007	9.001	1	11	1	100	2	100
1008	10.002	1	8	1	1	3	100
1009	13.001	1	3	1	1	3	100
1010	34.001	38	12	1	7	15	100
1011	13.001	19	8	1	7	9	100
1012	34.001	1	11	1	23	3	100
1013	19.003	47	14	1	7	17	100
1014	34.014	1	11	1	1	3	100
1015	52.002	1	11	1	1	3	100
1016	22.001	15	3	100	100	60	100
1017	14.001	10	3	100	10	60	1
1018	34.001	1	11	1	1	3	1
1019	34.001	10	11	100	1	3	100
1020	67.001	10	13	100	100	7	17
1021	14.001	10	3	100	100	2	100
1022	12.001	29	11	100	100	7	100
1023	61.001	36	11	1	100	7	100
1024	12.001	36	11	1	100	7	100
1025	5.002	1	13	1	1	3	2
1026	2.001	1	1	1	100	2	2
1027	2.002	19	8	1	7	3	2
1028	15.001	3	1	100	100	2	2
1029	14.002	29	1	100	100	7	7
1030	2.001	1	11	100	7	3	100
1031	2.001	1	1	100	7	3	100
1032	2.001	179	1	100	100	1	100
1033	2.002	123	14	1	100	1	100
1034	2.02	39	11	100	100	100	100
1035	14.005	29	8	100	100	7	2
1036	14.006	29	8	100	100	7	2
1037	92.001	16	10	1	1	10	100
1038	93.001	25	3	100	100	100	2
1039	2.001	39	11	100	7	4	2
1040	2.001	39	31	100	7	4	100
1041	2.007	39	11	100	7	4	100
1042	2.001	39	11	100	7	4	19
1043	2.001	180	31	100	7	4	100
1044	14.001	39	31	100	7	4	100
1045	34.013	1	11	1	1	3	2
1046	14.002	29	3	100	100	7	6
1047	18.001	25	13	1	1	3	100
1049	2.002	40	100	100	1	3	100
1050	5.002	10	1	1	1	3	100
1051	2.002	10	100	100	1	59	100
1052	19.001	181	12	1	7	55	100
1053	9.001	58	1	1	100	2	14
1054	9.001	10	100	1	1	49	100
1055	18.001	59	100	1	7	3	100
1056	18.001	16	3	1	1	3	100
1057	34.001	29	1	100	100	7	6
1058	5.002	38	3	1	1	3	100
1059	44.001	58	10	1	1	10	100
1060	94.001	42	100	100	10	2	2
1061	14.002	15	1	100	100	7	6
1062	14.002	5	3	100	100	7	6
1063	34.013	5	11	1	1	3	100
1064	14.001	10	14	100	100	1	6
1065	14.001	10	3	100	100	1	9
1066	2.001	183	1	100	100	100	100
1067	14.002	184	1	100	100	7	6
1068	22.001	15	3	100	100	67	100
1069	2.002	182	100	100	100	2	100
1070	100.008	10	14	100	100	1	100
1071	100.002	5	100	100	100	2	100
1072	15.003	161	100	100	100	1	100
1073	100.008	18	100	100	100	1	100
1074	100.001	54	100	100	100	2	100
1075	100.001	5	14	100	100	1	100
1076	100.004	5	13	100	11	7	100
1077	100.004	160	14	100	100	1	100
1078	100.001	54	14	100	100	2	100
1079	15.001	54	100	100	100	7	100
1080	100.001	54	100	100	100	7	100
1081	100.002	14	100	100	100	7	100
1082	1.001	10	100	100	100	2	100
1083	100.001	18	100	100	11	1	100
1084	1.002	90	14	100	100	2	100
1085	100.001	5	14	100	100	2	100
1086	100.005	54	14	100	100	1	100
1087	100.004	160	14	100	100	2	100
1088	100.005	161	100	100	100	1	100
1089	100.002	88	14	100	100	7	100
1090	100.004	18	14	100	100	100	100
1091	100.004	18	100	100	100	100	100
1092	19.001	54	100	100	1	22	100
1093	14.001	10	100	100	14	2	100
1094	14.001	14	100	100	100	1	100
1095	2.002	54	13	100	1	4	100
1096	19.001	38	13	1	7	15	100
1097	19.001	38	100	1	7	26	100
1098	2.002	18	100	1	5	6	100
1099	12.001	4	3	100	100	1	100
1100	13.001	1	100	1	7	21	100
1101	13.001	19	8	1	1	31	100
1102	18.001	1	4	1	7	3	100
1103	12.007	1	8	1	21	3	100
1104	18.001	19	12	1	7	3	100
1105	2.001	1	11	1	1	22	100
1106	12.007	1	11	1	7	3	100
1107	4.001	1	12	1	7	3	100
1108	2.002	1	11	1	7	100	100
1109	17.001	1	8	1	1	3	100
1110	18.001	139	8	1	7	1	100
1111	18.001	47	8	1	7	21	100
1112	21.001	47	4	1	7	21	100
1113	15.003	161	14	100	100	1	100
1114	100.006	161	14	100	100	1	100
1115	22.001	19	100	1	100	2	100
1116	1.002	25	14	100	100	2	100
1117	1.002	25	100	100	100	2	100
1118	21.001	1	8	1	7	3	100
1119	100.002	19	100	1	100	1	100
1120	22.001	25	14	100	100	2	100
1121	22.001	22	100	1	100	1	100
1122	19.001	14	3	100	100	100	100
1123	2.001	5	14	100	100	100	100
1124	34.007	40	100	100	7	4	100
1125	69.001	10	14	100	1	4	100
1126	2.001	54	14	100	1	22	100
1127	92.001	16	1	1	1	10	100
1128	2.002	10	100	100	100	7	100
1129	43.002	54	100	100	1	22	100
1130	17.001	1	100	1	1	3	100
1131	43.002	54	14	1	7	20	100
1132	22.001	98	100	1	1	49	100
1133	60.001	1	11	1	7	3	100
1134	34.015	89	100	100	7	4	100
1135	101.001	25	8	1	2	4	100
1136	2.008	22	13	1	1	24	100
1137	18.001	47	100	1	7	3	100
1138	12.001	22	8	1	16	24	100
1139	2.002	89	1	100	7	4	100
1140	12.001	16	24	1	7	6	100
1141	18.001	36	8	1	7	24	100
1142	21.001	19	12	1	7	3	100
1143	60.001	1	12	1	7	3	100
1144	21.001	19	4	1	7	3	100
1145	10.001	33	10	1	2	5	100
1146	13.001	1	11	1	1	1	100
1147	13.001	19	12	1	7	53	100
1148	5.002	1	12	1	7	3	100
1149	21.001	19	13	1	7	3	100
1150	21.001	19	12	1	7	8	100
1151	13.001	19	4	1	1	9	100
1152	2.001	1	8	1	1	52	100
1153	2.002	1	11	1	2	23	100
1154	19.001	10	3	100	1	20	100
1155	43.001	16	4	1	7	6	100
1156	18.001	1	9	1	7	1	12
1157	21.001	19	8	1	7	3	100
1158	34.006	36	8	1	7	4	100
1159	43.001	33	4	1	2	5	100
1160	2.002	16	13	1	7	6	100
1161	18.001	1	21	1	7	3	100
1162	13.001	33	9	1	2	5	100
1163	21.001	16	13	1	7	8	100
1164	13.001	25	12	1	7	53	100
1165	5.002	1	8	1	7	23	100
1166	10.001	33	9	1	2	5	100
1167	18.001	19	11	1	7	3	100
1168	34.001	40	12	100	1	34	100
1169	2.002	40	11	100	7	3	100
1170	10.001	33	13	1	2	5	100
1171	18.001	1	11	1	1	52	100
1172	21.001	1	4	1	1	39	1
1173	21.001	19	8	1	7	3	1
1174	43.001	19	8	1	2	15	100
1175	10.001	36	8	1	2	24	100
1176	13.001	1	12	1	1	9	100
1177	21.001	19	4	1	7	8	100
1178	18.001	1	13	1	7	3	100
1179	13.001	1	8	1	7	3	100
1180	13.001	1	4	1	7	22	100
1181	21.001	1	10	1	7	3	100
1182	21.001	19	12	1	7	25	100
1183	43.002	1	8	1	15	3	100
1184	71.001	33	8	1	2	5	100
1185	14.001	1	13	1	7	3	100
1186	43.002	14	8	100	1	38	100
1187	13.001	22	8	1	16	24	100
1188	41.001	33	8	1	2	5	100
1189	12.007	25	4	1	7	3	100
1190	12.007	1	12	1	7	3	100
1191	10.001	47	11	1	7	21	100
1192	43.001	16	12	1	7	6	100
1193	12.007	1	8	1	7	3	100
1194	2.008	25	13	1	2	10	100
1195	18.001	89	8	1	7	24	100
1196	17.001	1	12	1	1	3	100
1197	2.002	1	9	1	7	3	100
1198	21.001	78	12	1	7	52	100
1199	13.001	70	8	1	7	53	100
1200	2.002	54	14	100	7	22	100
1201	69.001	10	14	100	7	20	100
1202	2.002	89	14	100	7	20	100
1203	2.002	89	14	100	7	4	100
1204	2.002	89	12	100	7	4	100
1205	14.001	76	3	1	1	22	100
1206	9.001	89	12	1	1	22	100
1207	2.002	38	13	1	7	18	100
1208	43.002	89	12	1	7	24	100
1209	9.001	89	8	1	1	22	100
1210	2.001	10	19	100	1	22	100
1211	19.001	24	10	1	7	15	100
1212	2.002	10	14	1	7	20	100
1213	2.008	19	14	1	2	10	100
1214	5.002	15	14	1	1	3	100
1215	2.002	18	14	1	1	3	100
1216	13.001	19	12	1	1	9	100
1217	5.002	1	46	1	7	3	100
1218	9.001	1	12	1	100	2	100
1219	10.001	16	10	1	1	10	100
1220	43.002	54	100	100	7	6	100
1221	2.002	42	3	100	10	2	100
1222	18.001	25	12	1	7	43	100
1223	19.001	38	14	1	7	15	100
1224	2.002	18	19	100	1	18	100
1225	13.001	19	3	1	1	9	100
1226	19.001	54	13	1	1	26	100
1227	19.001	163	13	100	7	20	100
1228	19.001	47	8	1	7	17	100
1229	10.001	25	8	1	2	5	100
1230	19.001	33	100	1	7	15	100
1231	19.001	19	13	1	7	26	100
1232	10.001	33	21	1	2	5	100
1233	44.001	191	10	1	1	10	100
1234	18.001	192	8	1	1	3	100
1235	107.001	1	8	1	1	3	100
1236	10.001	33	100	1	2	5	100
1237	2.001	54	8	100	1	49	100
1238	19.001	54	13	1	7	20	100
1239	5.002	1	8	100	1	3	23
1240	106.001	33	100	1	2	75	100
1241	19.001	201	13	1	7	20	100
1242	108.001	38	13	1	7	15	100
1243	27.002	1	11	1	1	47	100
1244	19.001	5	14	100	100	2	22
1245	2.001	203	100	1	100	1	100
1246	10.001	33	24	1	2	5	100
1247	14.001	194	13	1	7	49	100
1248	16.001	193	100	100	1	68	100
1249	19.001	24	11	1	7	15	100
1250	19.001	195	14	1	7	17	100
1251	2.001	39	14	100	7	100	100
1252	2.001	39	4	100	100	100	100
1253	2.002	196	14	1	7	17	100
1254	2.002	19	14	1	7	3	100
1255	2.002	10	3	100	1	22	100
1256	2.002	89	13	100	7	20	100
1257	2.002	69	14	100	1	18	100
1258	34.001	1	11	1	1	74	100
1259	5.002	1	35	1	1	3	100
1260	69.001	163	14	100	7	73	100
1261	69.001	201	14	100	1	68	100
1262	2.002	10	3	1	1	4	100
1263	10.003	16	12	1	1	10	100
1264	109.001	1	8	1	7	3	100
1265	100.006	86	100	100	100	2	100
1266	2.002	40	8	100	7	4	100
1267	1.001	5	1	100	100	1	100
1268	105.001	25	3	100	100	100	100
1269	14.001	197	3	100	100	15	100
1270	2.002	40	12	1	7	4	100
1271	2.002	10	100	100	1	22	100
1272	9.001	25	12	1	1	69	100
1273	2.001	25	3	100	1	4	100
1274	2.001	10	100	100	7	20	100
1275	2.002	10	100	100	1	26	100
1276	15.001	142	100	100	100	70	100
1277	2.001	10	100	1	7	26	100
1278	2.001	101	100	100	100	100	12
1279	9.001	132	8	1	1	9	100
1280	9.001	10	27	1	1	60	100
1281	9.001	105	100	100	100	2	100
1282	19.001	47	100	1	7	17	100
1283	14.001	10	13	1	7	76	100
1284	2.002	54	100	100	7	22	100
1285	2.021	54	14	100	7	22	100
1286	2.001	54	1	100	1	18	100
1287	2.002	89	1	100	7	72	100
1288	76.002	19	8	1	1	9	100
1289	2.002	19	10	1	7	3	100
1290	3.002	54	100	100	1	20	100
1291	2.001	24	1	100	100	2	21
1292	2.002	199	100	100	1	22	100
1293	19.001	47	100	1	7	71	100
1294	2.002	199	100	100	7	22	100
1295	2.002	1	1	100	100	2	100
1296	19.001	198	100	1	7	15	100
1297	19.001	69	3	100	1	20	100
1298	2.002	15	1	100	100	7	100
1299	19.001	124	11	100	1	20	100
1300	2.002	40	11	100	7	15	100
1301	19.001	1	12	1	7	43	100
1302	13.001	19	8	1	21	33	100
1303	2.002	10	13	100	7	2	100
1304	19.001	18	14	1	7	15	100
1305	44.001	16	100	1	1	45	100
1306	9.001	1	8	100	7	3	100
1307	14.001	54	13	100	1	59	100
1308	14.001	18	14	100	7	20	100
1309	2.008	54	13	100	7	20	100
1310	12.007	39	14	100	7	100	100
1311	14.001	18	14	100	7	79	100
1312	19.001	209	3	1	7	15	100
1313	19.001	206	14	1	7	15	100
1314	2.001	5	3	100	2	77	100
1315	19.001	54	3	1	7	17	100
1316	18.001	204	11	1	7	26	100
1317	102.001	5	100	100	100	27	100
1318	14.001	202	100	100	1	3	100
1319	19.001	47	100	1	7	78	100
1320	2.002	18	13	100	1	18	100
1321	2.002	40	14	100	1	4	100
1322	2.001	205	8	1	1	78	100
1323	2.002	200	100	100	1	4	100
1324	19.001	208	8	1	7	3	100
1325	1.001	207	100	100	100	1	100
1326	19.001	38	13	1	7	13	100
1327	9.001	1	12	1	1	2	100
1328	19.001	1	14	1	7	17	100
1329	13.001	19	100	1	1	9	100
1330	2.008	131	100	1	2	51	100
1331	10.001	33	8	1	2	5	2
1332	5.002	10	4	1	1	3	100
1333	5.002	1	100	1	1	5	100
1334	9.001	1	13	1	100	2	100
1335	15.001	62	16	100	100	2	100
1336	2.001	18	14	1	1	3	100
1337	15.001	60	100	100	100	2	6
1338	9.001	25	1	1	1	2	100
1339	9.001	1	4	1	1	22	100
1340	43.002	122	100	100	7	6	100
1341	100.006	86	3	100	100	2	100
1342	12.007	9	1	100	100	1	100
1343	2.002	71	13	100	7	6	100
1344	2.002	18	13	1	7	3	100
1345	2.002	10	4	100	1	59	100
1346	2.002	19	13	100	14	1	100
1347	2.002	19	9	100	1	18	100
1348	2.002	1	3	1	100	2	100
1349	2.002	40	100	100	7	4	6
1350	2.002	40	13	100	7	3	100
1351	44.001	16	8	1	1	45	100
1352	44.001	16	10	1	23	10	100
1353	2.008	131	1	100	2	51	100
1354	19.001	69	13	1	7	20	100
1355	19.001	69	19	100	7	55	100
1356	19.001	38	8	1	7	15	100
1357	19.001	38	9	1	7	55	100
1358	19.001	1	1	100	7	15	100
1359	19.001	25	100	1	7	15	100
1360	14.001	10	13	1	7	49	100
1361	14.001	10	13	100	2	2	100
1362	14.001	10	100	100	1	22	100
1363	9.001	210	8	1	1	9	100
1364	18.001	1	8	1	7	80	100
1365	2.002	10	100	100	24	26	100
1366	13.001	19	3	1	1	9	24
1367	2.002	10	100	100	7	4	100
1368	93.001	25	1	100	100	100	2
1369	19.001	24	3	1	7	15	100
1370	2.001	9	1	100	100	1	2
1371	2.001	5	3	100	7	3	100
1372	44.001	16	4	1	1	45	100
1373	14.001	10	3	1	100	100	100
1374	112.001	16	10	1	1	10	100
1375	2.001	24	1	100	100	2	25
1376	110.001	42	100	100	10	2	100
1377	111.001	42	100	100	10	2	100
1378	2.002	161	4	1	25	10	100
1379	2.002	40	3	100	7	3	100
1380	1.011	5	100	100	100	1	100
1381	2.002	211	14	100	7	22	100
1382	116.001	25	1	100	100	100	2
1383	113.001	16	10	1	1	10	100
1384	114.001	25	3	100	100	100	2
1385	19.005	38	12	1	7	15	22
1386	115.001	1	11	1	1	3	100
1387	5.002	122	14	1	7	3	100
1388	21.001	47	8	1	7	21	1
1389	43.002	19	9	1	7	3	1
1390	34.008	42	1	100	10	2	100
1391	10.001	25	10	1	2	5	100
1392	10.001	1	8	1	7	3	100
1393	100.001	18	3	100	100	1	20
1394	15.003	161	3	100	100	1	100
1395	100.002	182	100	100	100	2	100
1396	91.001	158	21	100	1	3	100
1397	91.001	36	13	100	100	7	100
1398	91.001	36	21	1	100	7	100
1399	71.001	1	8	1	1	3	100
1400	15.001	54	100	100	100	2	100
1401	15.001	161	14	100	100	7	100
1402	15.001	161	3	100	100	1	100
1403	15.005	161	100	100	100	1	100
1404	98.001	83	100	100	100	1	100
1405	97.001	54	100	100	100	2	100
1406	96.001	83	100	100	100	1	100
1407	100.005	161	100	100	100	1	6
1408	100.005	54	100	100	100	1	100
1409	100.001	54	4	100	100	2	100
1410	100.001	187	100	100	100	1	100
1411	100.01	54	100	100	100	1	100
1412	100.01	83	100	100	100	1	100
1413	100.004	160	3	100	100	2	100
1414	100.004	186	14	100	100	1	100
1415	100.001	185	100	100	100	1	100
1416	100.009	18	100	100	11	1	100
1417	95.001	18	3	100	100	100	100
1418	100.001	18	100	100	100	1	100
1419	2.023	18	3	100	100	2	100
1420	44.001	215	11	1	1	10	100
1421	15.001	18	14	100	100	2	100
1422	15.001	3	1	100	100	7	100
1423	15.001	14	1	100	100	7	100
1424	14.001	10	3	100	14	2	100
1425	12.001	10	5	1	100	2	100
1426	1.009	185	100	100	100	1	100
1427	1.001	54	14	100	100	100	100
1428	100.006	161	100	100	100	1	100
1429	100.001	161	14	100	100	1	100
1430	100.001	161	100	100	100	1	100
1431	100.001	10	14	100	100	2	100
1432	100.001	18	14	100	100	14	100
1433	100.001	188	14	100	100	1	100
1434	100.013	25	100	100	100	2	100
1435	100.013	54	100	100	100	2	100
1436	13.001	214	8	1	7	53	100
1437	100.012	18	100	100	100	1	100
1438	100.011	161	3	100	100	1	100
1439	15.006	212	100	100	100	7	100
1440	98.002	89	14	100	100	2	100
1441	100.014	5	100	100	100	2	100
1442	15.003	5	14	100	26	1	100
1443	100.002	213	100	100	100	2	100
1444	100.002	214	14	100	100	100	22
1445	100.015	18	14	100	100	1	100
1446	99.001	25	4	100	100	2	100
1447	9.001	189	100	1	1	2	100
1448	22.013	25	100	100	100	2	100
1449	22.001	54	14	100	100	2	100
1450	22.001	25	100	100	6	1	100
1451	2.002	18	3	1	5	6	100
1452	2.001	190	13	1	100	100	100
1453	2.001	19	8	100	1	31	100
1454	19.004	38	12	1	7	15	100
1455	19.001	54	4	100	1	22	100
1456	2.023	10	47	1	1	2	100
1457	19.001	38	13	1	7	55	100
1458	14.001	10	14	100	100	1	100
1459	14.001	10	14	100	100	1	26
1460	34.001	1	14	1	1	1	100
1461	2.001	24	14	100	100	2	100
1462	2.02	39	14	100	100	100	100
1463	103.001	1	8	1	1	3	100
1464	10.003	47	8	1	7	21	100
1465	1.001	25	100	1	100	2	100
1466	100.001	18	100	100	100	27	100
1467	15.001	62	4	100	100	2	100
1468	18.001	19	100	1	7	8	100
1469	2.001	18	4	1	100	2	100
1470	2.001	161	100	100	1	7	100
1471	34.001	88	100	1	1	3	100
1472	4.001	25	100	100	100	1	100
1473	68.001	19	4	1	100	2	100
1474	68.001	19	100	1	100	2	100
1475	9.001	189	8	1	1	2	100
1476	15.007	60	100	100	100	2	100
1477	119.001	18	100	100	100	100	100
1478	15.008	88	100	100	100	2	100
1479	10.001	33	8	1	2	85	100
1480	34.016	16	11	1	1	10	100
1481	34.016	220	11	1	1	10	100
1482	22.001	218	14	100	100	2	100
1483	1.001	219	100	100	100	1	100
1484	1.001	221	100	100	100	1	100
1485	2.001	39	5	100	7	4	100
1486	78.002	139	11	100	7	4	100
1487	2.001	39	1	100	7	4	100
1488	2.001	39	31	100	7	4	2
1489	18.001	36	8	1	2	24	2
1490	2.001	39	13	100	7	4	100
1491	2.001	39	13	100	100	100	1
1492	120.001	1	8	1	7	3	2
1493	5.002	222	14	1	7	3	100
1494	9.001	1	100	1	1	22	100
1495	9.001	10	13	1	1	49	100
1496	9.001	69	100	1	1	22	100
1497	9.001	95	13	1	1	22	100
1498	9.001	96	13	1	1	49	100
1499	22.003	218	14	100	100	2	100
1500	19.001	10	47	1	1	2	100
1501	60.001	1	8	1	7	3	29
1502	78.002	39	11	10	7	4	2
1503	78.002	39	11	100	7	4	100
1504	2.001	3	3	100	100	100	2
1505	100.008	10	100	100	100	7	100
1506	2.002	193	13	100	7	81	27
1507	34.001	1	11	1	1	82	100
1508	2.002	18	13	100	1	83	100
1509	2.002	40	11	100	7	84	100
1510	22.007	25	100	100	100	1	100
1511	2.002	1	1	1	1	3	2
1512	12.001	39	3	100	7	4	16
1513	2.001	39	3	100	7	4	100
1514	2.001	39	11	100	7	86	100
1515	1.001	57	3	100	100	2	100
1516	22.001	98	3	1	1	49	100
1517	22.001	76	13	1	100	2	100
1518	22.001	98	13	1	1	49	100
1519	9.001	58	1	1	100	2	29
1520	22.003	225	14	100	100	2	100
1521	14.001	10	14	100	100	1	29
1522	10.002	16	12	1	1	10	100
1523	1.001	17	100	100	100	1	100
1524	2.001	39	11	100	7	4	27
1525	19.006	18	12	1	7	15	100
1526	68.001	25	100	100	100	27	100
1527	68.001	25	100	1	100	27	100
1528	68.001	25	1	1	100	2	100
1529	2.008	54	13	1	2	34	100
1530	69.001	18	14	100	1	18	100
1535	68.001	83	100	100	100	7	100
1541	2.008	54	14	100	100	2	100
1543	9.001	69	13	1	1	22	100
1545	22.01	35	8	1	100	7	100
1546	9.005	58	100	1	100	2	100
1547	9.004	58	100	1	100	2	100
1548	9.001	115	100	1	1	49	100
1549	2.008	18	14	100	100	2	100
1551	9.001	54	100	1	1	49	100
1552	2.001	126	13	1	100	100	100
1555	12.001	36	8	1	7	38	100
1556	14.004	49	13	100	7	20	100
1557	83.001	29	12	100	100	7	100
1558	2.008	19	100	1	2	10	100
1559	79.002	25	1	100	100	2	100
1560	19.001	38	13	1	7	1	100
1562	2.002	19	44	1	7	3	100
1563	9.001	25	44	1	100	32	100
1566	78.001	25	1	100	100	2	100
1567	2.002	223	13	100	1	22	100
1568	1.001	224	100	100	100	42	100
1570	15.001	224	100	100	100	2	100
2124	9.001	25	12	1	100	2	100
2128	2.002	15	100	100	43	7	100
2129	19.001	293	14	1	7	15	100
2130	12.001	294	3	1	1	3	100
2132	14.001	296	3	100	7	20	100
2134	2.002	298	100	1	100	1	100
2136	12.001	300	100	100	100	1	100
2148	5.002	122	3	1	7	3	100
2151	14.001	10	3	100	100	1	35
2150	14.001	10	3	100	100	1	37
2154	10.001	19	100	1	1	3	100
2157	2.001	1	21	1	1	40	100
2180	14.001	10	14	100	100	1	39
2183	2.001	9	11	100	100	100	37
2185	34.001	1	14	1	100	1	100
2193	2.001	9	21	100	100	100	100
2196	2.001	203	3	1	100	1	100
2197	2.001	54	14	100	1	59	100
2198	2.001	203	14	1	100	1	100
2199	2.001	16	13	100	1	49	100
2200	2.001	44	8	100	100	1	2
2208	60.001	1	8	1	7	53	100
2209	2.002	19	13	100	1	18	100
2236	14.001	15	14	100	100	7	100
2357	34.006	40	3	1	1	34	100
2358	5.002	1	8	1	7	93	100
2359	5.002	1	100	1	7	3	100
2360	43.002	19	8	1	7	39	1
2361	103.001	1	9	1	1	3	100
2362	103.001	1	11	1	1	3	100
2363	13.001	25	8	1	21	53	100
2364	43.002	16	13	1	7	41	100
2365	21.001	33	8	1	7	52	100
2366	103.001	1	8	1	1	9	100
2367	5.002	1	8	1	1	109	100
2368	19.001	38	46	1	7	15	100
2369	21.001	89	8	1	7	3	100
2370	13.001	22	8	1	34	53	100
2371	13.001	1	8	1	7	108	100
2372	120.001	1	11	1	7	3	100
2373	120.001	1	12	1	7	3	100
2374	13.001	25	8	1	7	93	100
2375	21.001	19	100	1	7	3	100
2376	103.001	1	8	1	1	39	2
2377	17.001	1	8	1	34	93	100
2378	18.001	1	12	1	7	120	100
2379	141.001	1	8	1	7	3	100
2380	103.001	1	13	1	23	23	100
2381	13.001	25	11	1	7	108	100
2382	12.001	22	4	1	34	93	100
2383	13.001	22	4	1	34	93	100
2384	2.002	42	12	100	10	2	100
2385	13.001	19	12	1	1	123	100
2386	12.001	22	8	1	34	93	2
1531	2.009	54	14	100	1	4	100
1532	69.001	54	14	100	1	2	100
1533	2.008	78	14	100	100	2	100
1534	2.01	19	8	1	100	2	100
1536	35.001	69	11	1	1	3	100
1537	9.001	97	100	1	1	49	100
1538	14.001	57	100	1	7	7	100
1539	14.001	18	13	100	100	2	100
1540	9.001	57	14	1	1	49	100
1542	14.001	101	100	1	100	7	100
1544	76.001	25	1	100	100	2	100
1550	9.001	57	100	1	1	49	100
1553	15.004	88	100	100	100	2	100
1554	21.001	47	13	1	7	21	100
